Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/283916/jack-drury,Carolina Hurricanes,25/26,"$1,725,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/418345/ryan-suzuki,Carolina Hurricanes,24/25,"$775,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/148111/tyson-jost,Carolina Hurricanes,24/25,"$775,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/411012/justin-robidas,Carolina Hurricanes,25/26,"$825,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/296187/lucas-mercuri,Carolina Hurricanes,,,carolina_hurricanes.png
https://www.eliteprospects.com/player/595292/nikita-guslistov,Carolina Hurricanes,,,carolina_hurricanes.png
https://www.eliteprospects.com/player/44271/jordan-martinook,Carolina Hurricanes,26/27,"$3,050,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/88662/william-carrier,Carolina Hurricanes,30/31,"$2,000,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/177647/brendan-lemieux,Carolina Hurricanes,24/25,"$775,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/206755/eric-robinson,Carolina Hurricanes,24/25,"$950,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/619153/bradly-nadeau,Carolina Hurricanes,26/27,"$918,333",carolina_hurricanes.png
https://www.eliteprospects.com/player/690807/gleb-trikozov,Carolina Hurricanes,26/27,"$862,500",carolina_hurricanes.png
